,Brand_Name,Model_Name,Phone_Colour,Rom,Rating,Rating_Count,Reviews_Count,Price,Pre_price,Battery_Capacity,Display_Size,Processor,Primary_Camera,Rating_Group,Price_Group,Display_Group
340,SAMSUNG,SAMSUNG Galaxy F23 5G ,Forest Green,128,4.3,206030,15708,15999,23999,3600.0,6.6,QualcommSnapdragon750G,50.0,Good,0-20k,Very Large
341,SAMSUNG,SAMSUNG Galaxy F34 5G ,Mystic Green,128,4.3,1153,107,18999,24499,3600.0,6.5,Exynos1280,50.0,Good,0-20k,Large
342,REDMI,REDMI Note 12 5G ,Matte Black,128,4.0,3573,293,16999,19999,5000.0,6.67,QualcommSnapdragon4Gen1,48.0,Good,0-20k,Very Large
343,OnePlus,OnePlus 11R 5G ,Sonic Black,256,4.5,5358,419,43853,44999,5000.0,6.7,,50.0,Excellent,40k-60k,Very Large
344,OPPO,OPPO A78 5G ,Glowing Black,128,4.4,2189,109,18999,21999,5000.0,6.56,6833,50.0,Good,0-20k,Large
345,SAMSUNG,SAMSUNG Galaxy F23 5G ,Copper Blush,128,4.3,206030,15708,15999,23999,3600.0,6.6,QualcommSnapdragon750G,50.0,Good,0-20k,Very Large
346,SAMSUNG,SAMSUNG Galaxy F23 5G ,Aqua Blue,128,4.2,45639,3466,14999,22999,3600.0,6.6,QualcommSnapdragon750G,50.0,Good,0-20k,Very Large
347,SAMSUNG,SAMSUNG Galaxy F23 5G ,Forest Green,128,4.2,45639,3466,14999,22999,3600.0,6.6,QualcommSnapdragon750G,50.0,Good,0-20k,Very Large
348,SAMSUNG,SAMSUNG Galaxy F14 5G ,GOAT Green,128,4.2,30637,2387,13990,18490,6000.0,6.6,"Exynos1330,OctaCore",50.0,Good,0-20k,Very Large
349,REDMI,REDMI Note 12 Pro 5G ,Onyx Black,256,4.2,15993,1503,26999,31999,3600.0,6.67,MediatekDimensity1080,50.0,Good,20k-40k,Very Large
350,SAMSUNG,SAMSUNG Galaxy F34 5G ,Mystic Green,128,4.1,253,24,20999,25999,3600.0,6.5,Exynos1280,50.0,Good,20k-40k,Large
